subject,electrode,band,k,error
1,9,Beta,10,0.35
1,10,Mu,1,0.65
1,10,Mu,2,0.65
1,10,Mu,3,0.5
1,10,Mu,4,0.6
1,10,Mu,5,0.4
1,10,Mu,6,0.45
1,10,Mu,7,0.5
1,10,Mu,8,0.55
1,10,Mu,9,0.55
1,10,Mu,10,0.5
1,10,Beta,1,0.55
1,10,Beta,2,0.45
1,10,Beta,3,0.6
1,10,Beta,4,0.35
1,10,Beta,5,0.6
1,10,Beta,6,0.45
1,10,Beta,7,0.45
1,10,Beta,8,0.35
1,10,Beta,9,0.65
1,10,Beta,10,0.65
1,11,Mu,1,0.6
1,11,Mu,2,0.7
1,11,Mu,3,0.8
1,11,Mu,4,0.6
1,11,Mu,5,0.75
1,11,Mu,6,0.55
1,11,Mu,7,0.55
1,11,Mu,8,0.55
1,11,Mu,9,0.7
1,11,Mu,10,0.55
1,11,Beta,1,0.65
1,11,Beta,2,0.7
1,11,Beta,3,0.75
1,11,Beta,4,0.6
1,11,Beta,5,0.6
1,11,Beta,6,0.6
1,11,Beta,7,0.65
1,11,Beta,8,0.35
1,11,Beta,9,0.65
1,11,Beta,10,0.6
1,12,Mu,1,0.35
1,12,Mu,2,0.35
1,12,Mu,3,0.45
1,12,Mu,4,0.5
1,12,Mu,5,0.6
1,12,Mu,6,0.5
1,12,Mu,7,0.45
1,12,Mu,8,0.65
1,12,Mu,9,0.8
1,12,Mu,10,0.85
1,12,Beta,1,0.65
1,12,Beta,2,0.55
1,12,Beta,3,0.7
1,12,Beta,4,0.7
1,12,Beta,5,0.75
1,12,Beta,6,0.55
1,12,Beta,7,0.55
1,12,Beta,8,0.6
1,12,Beta,9,0.5
1,12,Beta,10,0.6
1,13,Mu,1,0.5
1,13,Mu,2,0.4
1,13,Mu,3,0.5
1,13,Mu,4,0.5
1,13,Mu,5,0.45
1,13,Mu,6,0.6
1,13,Mu,7,0.75
1,13,Mu,8,0.5
1,13,Mu,9,0.5
1,13,Mu,10,0.45
1,13,Beta,1,0.7
1,13,Beta,2,0.55
1,13,Beta,3,0.75
1,13,Beta,4,0.6
1,13,Beta,5,0.8
1,13,Beta,6,0.55
1,13,Beta,7,0.7
1,13,Beta,8,0.7
1,13,Beta,9,0.65
1,13,Beta,10,0.6
1,14,Mu,1,0.65
1,14,Mu,2,0.65
1,14,Mu,3,0.7
1,14,Mu,4,0.7
1,14,Mu,5,0.6
1,14,Mu,6,0.65
1,14,Mu,7,0.45
1,14,Mu,8,0.6
1,14,Mu,9,0.45
1,14,Mu,10,0.45
1,14,Beta,1,0.55
1,14,Beta,2,0.4
1,14,Beta,3,0.55
1,14,Beta,4,0.45
1,14,Beta,5,0.5
1,14,Beta,6,0.35
1,14,Beta,7,0.5
1,14,Beta,8,0.3
1,14,Beta,9,0.65
